name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
opisthokonta,dayhoff6,49,6,0.01717943103138605,44773741,38.129411268798535,7.651023382696612,-30.478387886101924
opisthokonta,dayhoff6,50,6,0.01721818100740936,44798294,38.90756251918218,7.651261475594271,-31.256301043587907
opisthokonta,hp2,2,2,2.5600060416089115e-30,4,0.6020599913279624,0.6020599913279624,0.0
opisthokonta,hp2,3,2,4.0960096665742584e-29,8,0.9030899869919435,0.9030899869919435,0.0
opisthokonta,hp2,4,2,6.5536154665188135e-28,16,1.2041199826559248,1.2041199826559248,0.0
opisthokonta,hp2,5,2,1.0485784746430102e-26,32,1.505149978319906,1.505149978319906,0.0
opisthokonta,hp2,6,2,1.6777255594288163e-25,64,1.806179973983887,1.806179973983887,0.0
opisthokonta,hp2,7,2,2.684360895086106e-24,128,2.1072099696478683,2.1072099696478683,0.0
opisthokonta,hp2,8,2,4.2949774321377696e-23,256,2.4082399653118496,2.4082399653118496,0.0
opisthokonta,hp2,9,2,6.871963891420431e-22,512,2.709269960975831,2.709269960975831,0.0
opisthokonta,hp2,10,2,1.099514222627269e-20,1024,3.010299956639812,3.010299956639812,0.0
opisthokonta,hp2,11,2,1.7592227562036304e-19,2048,3.3113299523037933,3.3113299523037933,0.0
opisthokonta,hp2,12,2,2.8147564099258087e-18,4096,3.612359947967774,3.612359947967774,0.0
opisthokonta,hp2,13,2,4.503610255881294e-17,8192,3.9133899436317554,3.9133899436317554,0.0
opisthokonta,hp2,14,2,7.204017347708967e-16,16384,4.214419939295737,4.214419939295737,0.0
opisthokonta,hp2,15,2,1.1525020700227788e-14,32768,4.515449934959718,4.515449934959718,0.0
opisthokonta,hp2,16,2,1.8422030221505808e-13,65536,4.816479930623699,4.816479930623699,0.0
opisthokonta,hp2,17,2,2.9419499393167334e-12,131072,5.11750992628768,5.11750992628768,0.0
opisthokonta,hp2,18,2,4.695270396763469e-11,262144,5.418539921951662,5.418539921951662,0.0
opisthokonta,hp2,19,2,7.47696632266665e-10,524288,5.719569917615643,5.719569917615643,0.0
opisthokonta,hp2,20,2,1.1838176796873747e-08,1048576,6.020599913279624,6.020599913279624,0.0
